//X Y Z R G B Original_cloud_index
50520
-1.3797589540481567 3.3773496150970459 -2.6862406730651855 255 0 255 0.000000
-2.4571697711944580 3.6987466812133789 -2.3428406715393066 255 0 255 0.000000
-0.6115530729293823 5.1373910903930664 -0.7253997921943665 255 0 255 0.000000
-3.2488899230957031 5.1226434707641602 0.6750110387802124 255 0 255 0.000000
-1.4642461538314819 4.1340131759643555 -1.2579102516174316 255 0 255 0.000000
-1.5364313125610352 4.3019366264343262 -1.1704001426696777 255 0 255 0.000000
-1.5427085161209106 4.2159724235534668 -1.3252246379852295 255 0 255 0.000000
-2.3226923942565918 3.8286194801330566 -2.0980439186096191 255 0 255 0.000000
-1.0941528081893921 5.2441778182983398 0.8573955297470093 255 0 255 0.000000
-0.9923605322837830 5.1502337455749512 0.9073901176452637 255 0 255 0.000000
-1.5582598447799683 4.3101882934570313 -1.1692769527435303 255 0 255 0.000000
-2.6133172512054443 5.2817597389221191 0.3553909361362457 255 0 255 0.000000
-1.7666804790496826 5.5951476097106934 0.7663360238075256 255 0 255 0.000000
-2.8298127651214600 10.0335474014282227 -2.7843136787414551 255 0 255 0.000000
-0.7482165694236755 6.7745952606201172 -0.7485261559486389 255 0 255 0.000000
-1.2275395393371582 7.3624229431152344 0.2004771828651428 255 0 255 0.000000
-0.5280876755714417 4.8253703117370605 -1.9126125574111938 255 0 255 0.000000
-1.5618973970413208 7.5337772369384766 -0.1370137333869934 255 0 255 0.000000
-0.7162801623344421 3.2636938095092773 -2.4710972309112549 255 0 255 0.000000
-0.4391522407531738 2.2180969715118408 -1.3823778629302979 255 0 255 0.000000
-0.6656356453895569 3.3534874916076660 -2.5960569381713867 255 0 255 0.000000
-0.4775370359420776 2.1356642246246338 -1.1802806854248047 255 0 255 0.000000
-0.5856507420539856 2.2289793491363525 -1.3791363239288330 255 0 255 0.000000
-0.7043395042419434 3.3038606643676758 -2.5171453952789307 255 0 255 0.000000
-0.4156617522239685 2.2299115657806396 -1.3828606605529785 255 0 255 0.000000
-0.5616710186004639 3.4475250244140625 -1.6010174751281738 255 0 255 0.000000
-0.5704064369201660 2.1838569641113281 -1.3523875474929810 255 0 255 0.000000
-0.4714989662170410 2.0974984169006348 -1.3024672269821167 255 0 255 0.000000
-0.4488923251628876 2.1057243347167969 -1.1961514949798584 255 0 255 0.000000
-0.3796123266220093 4.1530532836914063 -3.0819280147552490 255 0 255 0.000000
