,bed,cabinet,table,chair,painting,shelf,rug,lamp,screen,apparel,clock,cushion
frame_id_0023.jpg,0.0,0.7854178102045725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.21458218979542,0.0,0.0
frame_id_0024.jpg,0.0,0.7839310089683237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.21606899103168,0.0,0.0
frame_id_0025.jpg,0.0,0.5570466399959488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.44295336000405,0.0,0.0
frame_id_0026.jpg,0.0,0.3735804439910843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6264195560089,0.0,0.0
frame_id_0027.jpg,0.0,6.096968537821555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.90303146217846,0.0,0.0
frame_id_0028.jpg,0.0,12.02137843012125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.97862156987874,0.0,0.0
frame_id_0029.jpg,0.0,15.11102189850792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.88897810149209,0.0,0.0
frame_id_0030.jpg,0.0,66.42346118692679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.57653881307321,0.0,0.0
frame_id_0031.jpg,0.0,68.22086475136012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.77913524863988,0.0,0.0
frame_id_0032.jpg,0.0,76.36377566656452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.636224333435493,0.0,0.0
frame_id_0033.jpg,0.0,65.40893001304104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.59106998695895,0.0,0.0
frame_id_0034.jpg,0.0,90.7190291490362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.280970850963799,0.0,0.0
frame_id_0035.jpg,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frame_id_0036.jpg,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frame_id_0037.jpg,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frame_id_0038.jpg,0.0,80.46855580412627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.531444195873725,0.0,0.0
frame_id_0039.jpg,0.0,95.80821917808218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.191780821917808,0.0,0.0
frame_id_0040.jpg,0.0,88.98360123396655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.016398766033445,0.0,0.0
frame_id_0041.jpg,0.0,24.58741428906637,0.0,0.0,0.0,0.0,0.0,1.2479685748303162,0.0,74.1646171361033,0.0,0.0
frame_id_0042.jpg,0.0,22.3109308057576,0.0,0.0,0.0,0.0,0.0,0.45303267312485784,0.0,77.23603652111754,0.0,0.0
frame_id_0043.jpg,0.0,6.34392201447595,0.0,0.0,0.0,0.229352634600448,0.0,0.3329130880151288,0.0,93.09381226290847,0.0,0.0
frame_id_0044.jpg,0.0,5.997047538018582,0.0,0.0,0.0,0.311867882960801,0.0,0.0,0.0,93.69108457902061,0.0,0.0
frame_id_0045.jpg,0.0,0.6246974744454885,0.0,0.0,0.0,0.0626405854047436,0.0,0.0,0.0,99.31266194014977,0.0,0.0
frame_id_0046.jpg,0.0,0.8909909427086125,0.0,0.0,0.0,0.19347231898815584,0.0,0.0,0.0,98.91553673830323,0.0,0.0
frame_id_0047.jpg,0.0,19.624581565425046,0.0,0.0,0.0,0.5143813564742755,0.0,0.0,0.0,79.86103707810068,0.0,0.0
frame_id_0048.jpg,0.0,14.728785802613551,0.0,0.0,0.0,0.09163018170070072,0.0,0.0,0.0,85.17958401568576,0.0,0.0
frame_id_0049.jpg,0.0,14.091742374139951,0.0,0.0,0.0,0.08469954865582976,0.0,0.0,0.0,85.82355807720423,0.0,0.0
frame_id_0050.jpg,0.0,7.385435447205456,0.0,0.0,0.0,0.3433409108724622,0.0,0.0,0.0,92.27122364192208,0.0,0.0
frame_id_0051.jpg,0.0,11.48439620081411,0.0,0.0,0.006784260515603799,0.4291044776119402,0.0,0.0,0.0,88.07971506105834,0.0,0.0
frame_id_0052.jpg,0.0,9.436084294736414,0.0,0.0,0.0651396176100885,0.1765894321148493,0.0,0.0,0.0,90.32218665553864,0.0,0.0
frame_id_0053.jpg,0.0,1.4443224062183169,0.0,0.07350456235214599,0.008871240283879688,0.4055424129773572,0.0,0.0,0.0,98.06775937816829,0.0,0.0
frame_id_0054.jpg,0.0,4.819224295132557,0.0,0.1534226399214476,0.11309440314209566,0.0,0.0,0.0,0.0,94.9142586618039,0.0,0.0
frame_id_0055.jpg,0.0,2.6533594584499243,0.0,2.2896611380153207,0.05308029541477991,0.1231987103454151,0.0,0.0,0.0,94.88070039777455,0.0,0.0
frame_id_0056.jpg,0.0,2.310540268763141,0.0,7.271002833897065,0.5416400036566414,0.202257976048999,0.0,0.0,0.0,89.67455891763414,0.0,0.0
frame_id_0057.jpg,0.0,0.0,0.0,2.5516652973519562,0.2227769702332048,0.0,0.0,0.0,0.0,97.22555773241484,0.0,0.0
frame_id_0058.jpg,0.027102719306170378,0.07227391814978769,0.0,14.480757069292618,0.35459391092239584,0.0,0.0,0.0,0.0,85.06527238232901,0.0,0.0
frame_id_0059.jpg,0.0,5.652788745844888,0.0,47.446327891131475,0.0,0.0,0.0,0.0,0.0,46.90088336302363,0.0,0.0
frame_id_0060.jpg,0.0,8.237118731690506,0.0,61.35332299385375,0.0,0.6433453960595095,0.0,0.0,0.0,29.76621287839623,0.0,0.0
frame_id_0061.jpg,0.0,4.189475061609928,0.0,64.44725535951846,0.0,0.35766471114212817,0.0,0.0,0.0,31.005604867729485,0.0,0.0
frame_id_0062.jpg,0.0,2.351632047477745,0.0,77.44807121661721,0.0,0.2744807121661721,0.0,0.0,0.0,19.92581602373887,0.0,0.0
frame_id_0063.jpg,0.0,3.211266170927982,0.0,88.4002241010492,0.0,0.8658449628195987,0.0,0.0,0.0,7.522664765203219,0.0,0.0
frame_id_0064.jpg,0.0,0.35756565436930743,0.0,81.76415162716533,0.0,0.6015800536348482,0.0,0.0,0.0,17.27670266483052,0.0,0.0
frame_id_0065.jpg,0.0,0.6848918642563618,0.0,86.81149074913665,0.0,0.0,0.0,0.0,0.0,12.503617386606988,0.0,0.0
frame_id_0066.jpg,0.0,0.02274504229156301,0.0,92.83957637358732,0.0,0.0,0.0,0.0,0.0,7.137678584121115,0.0,0.0
frame_id_0067.jpg,0.0,0.056171308791494845,0.0,97.90385115973203,0.0,0.0,0.0,0.24386568207039228,0.0,1.7961118494060915,0.0,0.0
frame_id_0068.jpg,0.0,0.0,0.0,95.27069372800463,0.0,0.0,4.671455430747722,0.0,0.0,0.05785084124764981,0.0,0.0
frame_id_0069.jpg,0.0,0.0,0.0,93.02724737180861,0.0,0.0,6.972752628191374,0.0,0.0,0.0,0.0,0.0
frame_id_0070.jpg,0.0,0.0,0.0,95.48900946021146,0.0,0.0,4.510990539788536,0.0,0.0,0.0,0.0,0.0
frame_id_0071.jpg,0.14072738466951054,0.0,0.0,92.32156207396983,0.0,0.0,7.537710541360658,0.0,0.0,0.0,0.0,0.0
frame_id_0072.jpg,0.0,0.0,0.0,81.20583542284021,0.0,1.4246637793480736,17.369500797811714,0.0,0.0,0.0,0.0,0.0
frame_id_0073.jpg,0.0,0.0,0.0,87.56810302129767,0.0,0.0,12.431896978702326,0.0,0.0,0.0,0.0,0.0
frame_id_0074.jpg,0.0,0.0,0.0,95.08258851024856,0.0,0.0,4.917411489751445,0.0,0.0,0.0,0.0,0.0
