//X Y Z R G B
30415
-5.2015042304992676 2.8106813430786133 -2.2612462043762207 255 176 0
-5.1741991043090820 4.0127639770507813 -2.5052828788757324 255 176 0
-6.0952448844909668 3.7883775234222412 -1.9435901641845703 255 176 0
-4.7476472854614258 3.9242947101593018 -2.8931760787963867 255 176 0
-4.7137522697448730 3.9905440807342529 -2.8476767539978027 255 176 0
-5.1501607894897461 3.8247823715209961 -2.8479919433593750 255 176 0
-5.2887449264526367 3.1053426265716553 -2.2853655815124512 255 176 0
-5.2611775398254395 2.4466221332550049 -1.5258374214172363 255 176 0
-5.2993683815002441 2.7307696342468262 -1.9654334783554077 255 176 0
-5.0881834030151367 2.9286465644836426 -1.4764152765274048 255 176 0
-5.0007629394531250 2.7562739849090576 -1.3748756647109985 255 176 0
-4.8513760566711426 2.5894920825958252 -1.7941919565200806 255 176 0
-4.8636808395385742 2.3175303936004639 -1.4519218206405640 255 176 0
-5.0879168510437012 3.8943774700164795 -2.8947319984436035 255 176 0
-5.0748920440673828 2.2727863788604736 -1.6504485607147217 255 176 0
-4.7918720245361328 2.2764229774475098 -1.4707350730895996 255 176 0
-5.0851454734802246 2.6046051979064941 -1.2501970529556274 255 176 0
-5.2102360725402832 3.0482890605926514 -1.8563615083694458 255 176 0
-5.1303491592407227 3.3659670352935791 -1.7439650297164917 255 176 0
-5.1984720230102539 3.3578593730926514 -1.7593606710433960 255 176 0
-5.1996421813964844 3.2809293270111084 -1.7735321521759033 255 176 0
-4.8439383506774902 2.7913432121276855 -1.4180268049240112 255 176 0
-5.1336326599121094 3.9361670017242432 -2.5107364654541016 255 176 0
-5.1349663734436035 3.8965246677398682 -2.6156656742095947 255 176 0
-5.7222881317138672 3.3856947422027588 -1.7163512706756592 255 176 0
-5.1487851142883301 2.5380206108093262 -1.5747507810592651 255 176 0
-5.1251430511474609 2.8075118064880371 -1.3917579650878906 255 176 0
-5.6432366371154785 3.1267850399017334 -2.0131382942199707 255 176 0
-5.1612348556518555 3.0877742767333984 -1.5714488029479980 255 176 0
-5.1392831802368164 3.9869632720947266 -2.4174287319183350 255 176 0
-5.2733769416809082 3.3004026412963867 -1.7006045579910278 255 176 0
-5.1620397567749023 2.4282078742980957 -1.7952924966812134 255 176 0
-5.0146155357360840 2.4516270160675049 -1.8514569997787476 255 176 0
-4.9932665824890137 3.9808199405670166 -2.3426218032836914 255 176 0
-5.0894680023193359 3.0947768688201904 -2.0802969932556152 255 176 0
-4.8984575271606445 2.3651349544525146 -1.5493844747543335 255 176 0
-5.0749950408935547 3.9756639003753662 -2.3788523674011230 255 176 0
-4.4488067626953125 2.3144068717956543 -1.6512780189514160 255 176 0
-4.9814577102661133 2.9399843215942383 -1.5014390945434570 255 176 0
-5.0068473815917969 3.9276874065399170 -2.4524886608123779 255 176 0
-4.8572683334350586 4.0705461502075195 -2.6030952930450439 255 176 0
-5.1087985038757324 2.4503514766693115 -1.7134567499160767 255 176 0
-5.3354830741882324 3.3130974769592285 -1.5944305658340454 255 176 0
-5.3541793823242188 3.1344740390777588 -2.1635682582855225 255 176 0
-5.2607645988464355 2.9691846370697021 -2.0554614067077637 255 176 0
-5.1929836273193359 3.9045729637145996 -2.8045790195465088 255 176 0
-5.0026779174804688 2.9358935356140137 -1.4793777465820313 255 176 0
-5.2188305854797363 3.0417437553405762 -1.9599033594131470 255 176 0
-5.1361312866210938 2.4490711688995361 -1.7646845579147339 255 176 0
-5.1562910079956055 3.8577330112457275 -2.7576019763946533 255 176 0
-5.2208704948425293 2.6053342819213867 -1.5916618108749390 255 176 0
-5.1838712692260742 2.5828599929809570 -1.6412030458450317 255 176 0
-5.2028079032897949 2.7475419044494629 -1.7536835670471191 255 176 0
-5.1804919242858887 2.6944143772125244 -1.7846705913543701 255 176 0
-5.1903924942016602 2.7271807193756104 -1.6536700725555420 255 176 0
-5.2141022682189941 2.8125028610229492 -1.7449654340744019 255 176 0
-5.2073984146118164 2.6942288875579834 -1.7189284563064575 255 176 0
-5.2233524322509766 3.8865203857421875 -2.8366734981536865 255 176 0
-5.3196101188659668 3.1422069072723389 -1.5837935209274292 255 176 0
-5.1159286499023438 3.1735405921936035 -1.9881286621093750 255 176 0
-4.8994026184082031 4.0320429801940918 -2.3936815261840820 255 176 0
-4.8380789756774902 2.8461077213287354 -1.4596467018127441 255 176 0
-5.1198058128356934 2.4013683795928955 -1.6635668277740479 255 176 0
-5.3339176177978516 3.1450610160827637 -2.2532432079315186 255 176 0
-5.1557588577270508 3.0043075084686279 -2.2142627239227295 255 176 0
-5.3754353523254395 3.2668197154998779 -1.8461518287658691 255 176 0
-4.5023045539855957 4.1046738624572754 -2.5598390102386475 255 176 0
-5.2407565116882324 3.0885069370269775 -1.9752869606018066 255 176 0
-5.2693428993225098 3.0837945938110352 -1.9892059564590454 255 176 0
-5.0497078895568848 4.0099573135375977 -2.5759024620056152 255 176 0
-5.2156577110290527 2.7932283878326416 -1.6951813697814941 255 176 0
-4.6813802719116211 4.0207285881042480 -2.5231976509094238 255 176 0
-5.2635707855224609 2.9771344661712646 -2.1733675003051758 255 176 0
-5.2996897697448730 3.0682325363159180 -1.9422016143798828 255 176 0
-5.1915669441223145 3.9539213180541992 -2.8542294502258301 255 176 0
-4.8647322654724121 2.5809624195098877 -1.8627427816390991 255 176 0
-5.2663102149963379 2.9664399623870850 -1.8090100288391113 255 176 0
-4.9121074676513672 4.0262742042541504 -2.7057871818542480 255 176 0
-5.1184172630310059 2.8783898353576660 -1.4457904100418091 255 176 0
-5.1116032600402832 3.8439557552337646 -2.6947638988494873 255 176 0
-5.2720541954040527 2.8510448932647705 -1.8150225877761841 255 176 0
-5.1759366989135742 2.6718459129333496 -1.6186126470565796 255 176 0
-5.2451477050781250 2.5834398269653320 -2.0276317596435547 255 176 0
-5.2037782669067383 2.6490406990051270 -1.8869777917861938 255 176 0
-5.0915365219116211 3.0894372463226318 -2.0550403594970703 255 176 0
-5.2080440521240234 2.7579777240753174 -1.6849451065063477 255 176 0
-5.3273863792419434 3.0934765338897705 -1.9105387926101685 255 176 0
-5.1913161277770996 2.6708152294158936 -2.0863280296325684 255 176 0
-5.2692341804504395 2.7286031246185303 -2.0922715663909912 255 176 0
-5.1691007614135742 2.4010984897613525 -1.8621873855590820 255 176 0
-5.7786617279052734 3.5190765857696533 -1.9445979595184326 255 176 0
