//X Y Z R G B
7589
-4.3788852691650391 4.0897102355957031 -3.2618892192840576 239 174 31
-4.3723993301391602 4.1673631668090820 -3.4179334640502930 239 174 31
-4.3902606964111328 4.0960793495178223 -3.2506794929504395 239 174 31
-4.5045666694641113 4.0918254852294922 -3.1832349300384521 239 174 31
-4.5124030113220215 4.0953335762023926 -3.3454022407531738 239 174 31
-4.6121363639831543 4.0563030242919922 -3.2780554294586182 239 174 31
-4.1342034339904785 3.0169470310211182 -2.2584378719329834 239 174 31
-4.3706493377685547 4.2187061309814453 -3.3078155517578125 239 174 31
-4.3934507369995117 4.2256374359130859 -3.3730816841125488 239 174 31
-4.1706047058105469 3.8548424243927002 -2.9742558002471924 239 174 31
-4.3646116256713867 4.0884752273559570 -2.7681601047515869 239 174 31
-4.6110558509826660 4.1557307243347168 -3.1115593910217285 239 174 31
-4.3449440002441406 4.0939555168151855 -3.3615264892578125 239 174 31
-4.4385328292846680 4.1803369522094727 -3.3327898979187012 239 174 31
-4.5101923942565918 4.0767612457275391 -2.6921987533569336 239 174 31
-4.6018466949462891 4.0018801689147949 -2.9360263347625732 239 174 31
-4.3139796257019043 4.2998151779174805 -3.3990733623504639 239 174 31
-4.4387998580932617 4.0270380973815918 -3.2898454666137695 239 174 31
-4.5081520080566406 4.2620596885681152 -2.9346318244934082 239 174 31
-4.5434012413024902 4.0326790809631348 -3.0359444618225098 239 174 31
-4.5645031929016113 4.2034673690795898 -2.9286568164825439 239 174 31
-4.4882106781005859 4.0080189704895020 -3.2641186714172363 239 174 31
-4.4976024627685547 4.1354961395263672 -3.3452053070068359 239 174 31
-4.2749743461608887 4.1388950347900391 -3.1359441280364990 239 174 31
-4.3259825706481934 4.0889701843261719 -3.2299623489379883 239 174 31
-4.2575244903564453 3.9638273715972900 -3.1922783851623535 239 174 31
-4.4842715263366699 4.1234064102172852 -3.1049816608428955 239 174 31
-4.2599091529846191 4.0666947364807129 -3.3017287254333496 239 174 31
-4.2860469818115234 3.9213042259216309 -3.1154024600982666 239 174 31
